models
openrouter/cognitivecomputations/dolphin3.0-r1-mistral-24b:free
openrouter/cognitivecomputations/dolphin3.0-mistral-24b:free
openrouter/meta-llama/llama-guard-3-8b
openrouter/openai/o3-mini-high
openrouter/allenai/llama-3.1-tulu-3-405b
openrouter/deepseek/deepseek-r1-distill-llama-8b
openrouter/google/gemini-2.0-flash-001
openrouter/google/gemini-2.0-flash-lite-preview-02-05:free
openrouter/google/gemini-2.0-pro-exp-02-05:free
openrouter/qwen/qwen-vl-plus:free
openrouter/aion-labs/aion-1.0
openrouter/aion-labs/aion-1.0-mini
openrouter/aion-labs/aion-rp-llama-3.1-8b
openrouter/qwen/qwen-turbo
openrouter/qwen/qwen2.5-vl-72b-instruct:free
openrouter/qwen/qwen-plus
openrouter/qwen/qwen-max
openrouter/openai/o3-mini
openrouter/deepseek/deepseek-r1-distill-qwen-1.5b
openrouter/mistralai/mistral-small-24b-instruct-2501:free
openrouter/mistralai/mistral-small-24b-instruct-2501
openrouter/deepseek/deepseek-r1-distill-qwen-32b
openrouter/deepseek/deepseek-r1-distill-qwen-14b
openrouter/perplexity/sonar-reasoning
openrouter/perplexity/sonar
openrouter/liquid/lfm-7b
openrouter/liquid/lfm-3b
openrouter/deepseek/deepseek-r1-distill-llama-70b:free
openrouter/deepseek/deepseek-r1-distill-llama-70b
openrouter/google/gemini-2.0-flash-thinking-exp:free
openrouter/deepseek/deepseek-r1:free
openrouter/deepseek/deepseek-r1
openrouter/sophosympatheia/rogue-rose-103b-v0.2:free
openrouter/minimax/minimax-01
openrouter/mistralai/codestral-2501
openrouter/microsoft/phi-4
openrouter/sao10k/l3.1-70b-hanami-x1
openrouter/deepseek/deepseek-chat:free
openrouter/deepseek/deepseek-chat
openrouter/qwen/qvq-72b-preview
openrouter/google/gemini-2.0-flash-thinking-exp-1219:free
openrouter/sao10k/l3.3-euryale-70b
openrouter/openai/o1
openrouter/eva-unit-01/eva-llama-3.33-70b
openrouter/x-ai/grok-2-vision-1212
openrouter/x-ai/grok-2-1212
openrouter/cohere/command-r7b-12-2024
openrouter/google/gemini-2.0-flash-exp:free
openrouter/google/gemini-exp-1206:free
openrouter/meta-llama/llama-3.3-70b-instruct:free
openrouter/meta-llama/llama-3.3-70b-instruct
openrouter/amazon/nova-lite-v1
openrouter/amazon/nova-micro-v1
openrouter/amazon/nova-pro-v1
openrouter/qwen/qwq-32b-preview
openrouter/google/learnlm-1.5-pro-experimental:free
openrouter/eva-unit-01/eva-qwen-2.5-72b
openrouter/openai/gpt-4o-2024-11-20
openrouter/mistralai/mistral-large-2411
openrouter/mistralai/mistral-large-2407
openrouter/mistralai/pixtral-large-2411
openrouter/x-ai/grok-vision-beta
openrouter/infermatic/mn-inferor-12b
openrouter/qwen/qwen-2.5-coder-32b-instruct
openrouter/raifle/sorcererlm-8x22b
openrouter/eva-unit-01/eva-qwen-2.5-32b
openrouter/thedrummer/unslopnemo-12b
openrouter/anthropic/claude-3.5-haiku-20241022:beta
openrouter/anthropic/claude-3.5-haiku-20241022
openrouter/anthropic/claude-3.5-haiku:beta
openrouter/anthropic/claude-3.5-haiku
openrouter/neversleep/llama-3.1-lumimaid-70b
openrouter/anthracite-org/magnum-v4-72b
openrouter/anthropic/claude-3.5-sonnet
openrouter/anthropic/claude-3.5-sonnet:beta
openrouter/x-ai/grok-beta
openrouter/mistralai/ministral-8b
openrouter/mistralai/ministral-3b
openrouter/qwen/qwen-2.5-7b-instruct
openrouter/nvidia/llama-3.1-nemotron-70b-instruct:free
openrouter/nvidia/llama-3.1-nemotron-70b-instruct
openrouter/inflection/inflection-3-pi
openrouter/inflection/inflection-3-productivity
openrouter/google/gemini-flash-1.5-8b
openrouter/anthracite-org/magnum-v2-72b
openrouter/liquid/lfm-40b
openrouter/thedrummer/rocinante-12b
openrouter/meta-llama/llama-3.2-3b-instruct
openrouter/meta-llama/llama-3.2-1b-instruct
openrouter/meta-llama/llama-3.2-90b-vision-instruct
openrouter/meta-llama/llama-3.2-11b-vision-instruct:free
openrouter/meta-llama/llama-3.2-11b-vision-instruct
openrouter/qwen/qwen-2.5-72b-instruct
openrouter/qwen/qwen-2-vl-72b-instruct
openrouter/neversleep/llama-3.1-lumimaid-8b
openrouter/openai/o1-mini-2024-09-12
openrouter/openai/o1-preview
openrouter/openai/o1-preview-2024-09-12
openrouter/openai/o1-mini
openrouter/mistralai/pixtral-12b
openrouter/cohere/command-r-08-2024
openrouter/cohere/command-r-plus-08-2024
openrouter/qwen/qwen-2-vl-7b-instruct
openrouter/sao10k/l3.1-euryale-70b
openrouter/google/gemini-flash-1.5-8b-exp
openrouter/ai21/jamba-1-5-large
openrouter/ai21/jamba-1-5-mini
openrouter/microsoft/phi-3.5-mini-128k-instruct
openrouter/nousresearch/hermes-3-llama-3.1-70b
openrouter/nousresearch/hermes-3-llama-3.1-405b
openrouter/perplexity/llama-3.1-sonar-huge-128k-online
openrouter/openai/chatgpt-4o-latest
openrouter/sao10k/l3-lunaris-8b
openrouter/aetherwiing/mn-starcannon-12b
openrouter/openai/gpt-4o-2024-08-06
openrouter/meta-llama/llama-3.1-405b
openrouter/nothingiisreal/mn-celeste-12b
openrouter/perplexity/llama-3.1-sonar-small-128k-chat
openrouter/perplexity/llama-3.1-sonar-large-128k-chat
openrouter/perplexity/llama-3.1-sonar-large-128k-online
openrouter/perplexity/llama-3.1-sonar-small-128k-online
openrouter/meta-llama/llama-3.1-405b-instruct
openrouter/meta-llama/llama-3.1-8b-instruct
openrouter/meta-llama/llama-3.1-70b-instruct
openrouter/mistralai/mistral-nemo:free
openrouter/mistralai/mistral-nemo
openrouter/mistralai/codestral-mamba
openrouter/openai/gpt-4o-mini
openrouter/openai/gpt-4o-mini-2024-07-18
openrouter/qwen/qwen-2-7b-instruct:free
openrouter/qwen/qwen-2-7b-instruct
openrouter/google/gemma-2-27b-it
openrouter/alpindale/magnum-72b
openrouter/google/gemma-2-9b-it:free
openrouter/google/gemma-2-9b-it
openrouter/01-ai/yi-large
openrouter/ai21/jamba-instruct
openrouter/anthropic/claude-3.5-sonnet-20240620:beta
openrouter/anthropic/claude-3.5-sonnet-20240620
openrouter/sao10k/l3-euryale-70b
openrouter/cognitivecomputations/dolphin-mixtral-8x22b
openrouter/qwen/qwen-2-72b-instruct
openrouter/mistralai/mistral-7b-instruct:free
openrouter/mistralai/mistral-7b-instruct
openrouter/mistralai/mistral-7b-instruct-v0.3
openrouter/nousresearch/hermes-2-pro-llama-3-8b
openrouter/microsoft/phi-3-mini-128k-instruct:free
openrouter/microsoft/phi-3-mini-128k-instruct
openrouter/microsoft/phi-3-medium-128k-instruct:free
openrouter/microsoft/phi-3-medium-128k-instruct
openrouter/neversleep/llama-3-lumimaid-70b
openrouter/google/gemini-flash-1.5
openrouter/deepseek/deepseek-chat-v2.5
openrouter/openai/gpt-4o-2024-05-13
openrouter/meta-llama/llama-guard-2-8b
openrouter/openai/gpt-4o
openrouter/openai/gpt-4o:extended
openrouter/neversleep/llama-3-lumimaid-8b:extended
openrouter/neversleep/llama-3-lumimaid-8b
openrouter/sao10k/fimbulvetr-11b-v2
openrouter/meta-llama/llama-3-8b-instruct:free
openrouter/meta-llama/llama-3-8b-instruct
openrouter/meta-llama/llama-3-70b-instruct
openrouter/mistralai/mixtral-8x22b-instruct
openrouter/microsoft/wizardlm-2-8x22b
openrouter/microsoft/wizardlm-2-7b
openrouter/google/gemini-pro-1.5
openrouter/openai/gpt-4-turbo
openrouter/cohere/command-r-plus
openrouter/cohere/command-r-plus-04-2024
openrouter/databricks/dbrx-instruct
openrouter/sophosympatheia/midnight-rose-70b
openrouter/cohere/command
openrouter/cohere/command-r
openrouter/anthropic/claude-3-haiku:beta
openrouter/anthropic/claude-3-haiku
openrouter/anthropic/claude-3-opus:beta
openrouter/anthropic/claude-3-opus
openrouter/anthropic/claude-3-sonnet:beta
openrouter/anthropic/claude-3-sonnet
openrouter/cohere/command-r-03-2024
openrouter/mistralai/mistral-large
openrouter/google/gemma-7b-it
openrouter/openai/gpt-3.5-turbo-0613
openrouter/openai/gpt-4-turbo-preview
openrouter/nousresearch/nous-hermes-2-mixtral-8x7b-dpo
openrouter/mistralai/mistral-small
openrouter/mistralai/mistral-tiny
